Gipps following-car model simulation 
Simulation Time : [Acceleration, Speed, Location, Headway]
V0: [1.904100,13.174900,-509.645400,0.000000] 
V1: [1.770200,10.145100,-509.645400,29.065600] 
V2: [2.188100,9.886800,-509.645400,17.992400] 
V3: [1.415100,6.538200,-509.645400,20.352300] 
V4: [1.563500,2.811300,-509.645400,12.889100] 
V5: [0.457300,2.934100,-509.645400,9.993200] 
V6: [0.320500,2.920400,-509.645400,9.096100] 
V7: [0.221400,2.908400,-509.645400,9.777000] 
V8: [-0.183300,3.204200,-509.645400,9.700600] 
V9: [-0.114500,3.186700,-509.645400,9.059700] 
Simulation Time: 8.000000 
V0: [1.757300,14.346400,-509.645400,0.000000] 
V1: [1.686200,11.269200,-509.645400,31.847000] 
V2: [2.096500,11.284500,-509.645400,18.799600] 
V3: [1.440700,7.498600,-509.645400,23.632900] 
V4: [1.785700,4.001800,-509.645400,15.939300] 
V5: [0.940900,3.561300,-509.645400,10.929200] 
V6: [0.829200,3.473200,-509.645400,9.559700] 
V7: [0.694000,3.371100,-509.645400,10.212700] 
V8: [0.374600,3.453900,-509.645400,9.924500] 
V9: [0.335700,3.410600,-509.645400,9.318400] 
Simulation Time: 8.670000 
V0: [1.598700,15.412200,-509.645400,0.000000] 
V1: [1.581600,12.323700,-509.645400,34.576700] 
V2: [1.964400,12.594100,-509.645400,19.381100] 
V3: [1.449700,8.465100,-509.645400,27.108900] 
V4: [1.949900,5.301700,-509.645400,18.802300] 
V5: [0.992900,4.223300,-509.645400,12.324900] 
V6: [0.960000,4.113200,-509.645400,10.077000] 
V7: [0.881400,3.958700,-509.645400,10.742100] 
V8: [0.698100,3.919300,-509.645400,10.326500] 
V9: [0.645800,3.841100,-509.645400,9.712800] 
Simulation Time: 9.330000 
V0: [1.436400,16.369800,-509.645400,0.000000] 
V1: [1.463600,13.299400,-509.645400,37.232600] 
V2: [1.805400,13.797700,-509.645400,19.747600] 
V3: [1.443400,9.427400,-509.645400,30.705800] 
V4: [2.052400,6.670000,-509.645400,21.413000] 
V5: [1.037700,4.915100,-509.645400,14.191000] 
V6: [1.037500,4.804900,-509.645400,10.619900] 
V7: [0.992900,4.620600,-509.645400,11.328000] 
V8: [0.894000,4.515400,-509.645400,10.832000] 
V9: [0.860100,4.414500,-509.645400,10.196300] 
Simulation Time: 10.000000 
V0: [1.276700,17.220900,-509.645400,0.000000] 
V1: [1.338500,14.191700,-509.645400,39.799300] 
V2: [1.632000,14.885700,-509.645400,19.916800] 
V3: [1.423400,10.376300,-509.645400,34.346800] 
V4: [2.094700,8.066500,-509.645400,23.727500] 
V5: [1.075100,5.631800,-509.645400,16.515700] 
V6: [1.090600,5.531900,-509.645400,11.174400] 
V7: [1.065200,5.330700,-509.645400,11.949800] 
V8: [1.013200,5.190800,-509.645400,11.398200] 
V9: [1.000200,5.081400,-509.645400,10.733500] 
Simulation Time: 10.670000 
V0: [1.124300,17.970400,-509.645400,0.000000] 
V1: [1.211400,14.999400,-509.645400,42.267500] 
V2: [1.432900,15.840900,-509.645400,19.915600] 
V3: [1.391500,11.303900,-509.645400,37.887800] 
V4: [2.082100,9.454500,-509.645400,25.723000] 
V5: [1.105100,6.368500,-509.645400,19.268100] 
V6: [1.129300,6.284800,-509.645400,11.731800] 
V7: [1.115000,6.074000,-509.645400,12.595300] 
V8: [1.089100,5.916900,-509.645400,12.000500] 
V9: [1.092000,5.809300,-509.645400,11.301000] 
Simulation Time: 11.330000 
V0: [0.982200,18.625200,-509.645400,0.000000] 
V1: [1.086600,15.723700,-509.645400,44.632700] 
V2: [0.931700,16.462100,-509.645400,19.845300] 
V3: [1.349600,12.203700,-509.645400,41.214800] 
V4: [2.022600,10.802900,-509.645400,27.395200] 
V5: [1.127900,7.120500,-509.645400,22.401700] 
V6: [1.157400,7.056400,-509.645400,12.285900] 
V7: [1.150000,6.840700,-509.645400,13.256100] 
V8: [1.139200,6.676300,-509.645400,12.624100] 
V9: [1.152900,6.577900,-509.645400,11.883300] 
Simulation Time: 12.000000 
V0: [0.852300,19.193400,-509.645400,0.000000] 
